,Polarization_bool,retweetCount
0,-1,450.0
1,-1,1593.0
2,-1,1062.0
3,-1,260.0
4,1,271.0
5,-1,415.0
6,-1,356.0
7,1,931.0
8,1,4616.0
9,-1,620.0
10,1,3429.0
11,-1,235.0
12,1,1130.0
13,-1,273.0
14,1,440.0
15,-1,363.0
16,-1,3749.0
17,0,474.0
18,-1,4651.0
19,1,1374.0
20,-1,2665.0
21,1,1173.0
22,1,9353.0
23,0,1683.0
24,1,141.0
25,-1,1121.0
26,-1,383.0
27,-1,221.0
28,-1,319.0
29,0,370.0
30,-1,440.0
31,-1,2615.0
32,1,710.0
33,-1,2501.0
34,1,450.0
35,-1,851.0
36,0,899.0
37,-1,216.0
38,0,1473.0
39,1,384.0
40,-1,1565.0
41,-1,518.0
42,0,3874.0
43,-1,3555.0
44,-1,336.0
45,0,803.0
46,0,852.0
47,1,275.0
48,-1,243.0
49,-1,700.0
50,0,503.0
51,-1,278.0
52,0,217.0
53,1,2565.0
54,1,232.0
55,1,281.0
56,1,2355.0
57,0,366.0
58,-1,417.0
59,0,713.0
60,1,1792.0
61,1,796.0
62,1,1420.0
63,1,3354.0
64,-1,7521.0
65,-1,248.0
66,-1,510.0
67,1,545.0
68,0,9530.0
69,1,572.0
70,1,7710.0
71,1,218.0
72,1,888.0
73,-1,530.0
74,1,598.0
75,0,1307.0
76,-1,1479.0
77,-1,260.0
78,1,600.0
79,1,2187.0
80,-1,1109.0
81,-1,128.0
82,1,456.0
83,-1,780.0
84,1,776.0
85,0,2247.0
86,-1,2874.0
87,1,869.0
88,1,335.0
89,0,644.0
90,-1,562.0
91,1,671.0
92,-1,744.0
93,0,417.0
94,-1,165.0
95,1,307.0
96,1,207.0
97,1,1627.0
98,-1,221.0
99,1,736.0
100,1,408.0
101,-1,2600.0
102,1,8433.0
103,-1,265.0
104,0,745.0
105,-1,774.0
106,-1,700.0
107,1,3466.0
108,1,692.0
109,1,1797.0
110,-1,932.0
111,-1,2142.0
112,-1,315.0
113,-1,1371.0
114,1,2808.0
115,1,3704.0
116,0,501.0
117,1,1139.0
118,0,567.0
119,1,783.0
120,0,833.0
121,-1,2448.0
122,0,302.0
123,0,287.0
124,1,890.0
125,-1,527.0
126,1,825.0
127,-1,1430.0
128,1,865.0
129,1,577.0
130,-1,3222.0
131,-1,3549.0
132,1,362.0
133,1,580.0
134,1,6407.0
135,-1,639.0
136,1,785.0
137,-1,921.0
138,-1,13804.0
139,1,905.0
140,-1,3093.0
141,1,7189.0
142,0,3301.0
143,-1,252.0
144,1,387.0
145,-1,2564.0
146,1,4799.0
147,1,2288.0
148,-1,1399.0
149,-1,603.0
150,0,235.0
151,-1,1548.0
152,1,6883.0
153,-1,959.0
154,1,3450.0
155,1,412.0
156,-1,344.0
