Tweet_number,rawContent,timestamp,ID,replyCount,retweetCount,likeCount
0,"Excellent idea. Trump can use his foreign emoluments to pay for the wall — all of it.

GOP Rep. Walter Jones Suggests Trump Pay for Part of His Wall https://t.co/HkC1cTZpCk via @RollCall",2018-12-31 23:59:45+00:00,1.08E+18,121,450,1392
1,"There are truly no limits to the hypocrisy of Trump and his band of grifters -- railing against Social Security, Medicare, and Medicaid, while planning their New Year's Eve party on the taxpayers' dime.

https://t.co/6pQL2tJ2Tx",2018-12-31 23:57:38+00:00,1.08E+18,143,1593,2640
2,"Trump lawyer Giuliani Says Assange Should Not Be Prosecuted Citing Pentagon Papers
https://t.co/SRVnT30RCD",2018-12-31 23:49:47+00:00,1.08E+18,170,1062,2230
3,"I’d like to take this opportunity to remind everyone for the last time this year that Donald Trump is a fucking paste-eating, directly-at-the-sun-staring moron of epic proportions whose level of lunacy is unparalleled in any dimension or nursing home on this flat fucking planet",2018-12-31 23:48:46+00:00,1.08E+18,103,260,1370
4,"“Mr Trump, do you think Elizabeth Warren could win a presidential race in 2020?”
Trump- “I don’t know you’re going to have to ask her psychiatrist. “

😱 what a vile piece of shit.",2018-12-31 23:37:22+00:00,1.08E+18,126,271,1119
5,So Graham Norton taking the piss out of Brexit on BBC1 to rapturous laughter and Jools Holland on BBC2 taking the piss out of Donald and Melania Trump. #BBCImpartiality Going to be rounded off by @SadiqKhan's pro-EU fire-works display.,2018-12-31 23:33:39+00:00,1.08E+18,176,415,1220
6,President Trump should be demanding accountability for the deaths of two migrant children instead of playing political games. His administration must ensure proper medical care for all migrants in their custody.,2018-12-31 23:28:58+00:00,1.08E+18,226,356,1859
7,"Snoop Dogg, Lena Dunham, Barbara Streisand, Chelsea Handler &amp; others,

Why are you still complaining about Trump,

Shouldn’t y’all be in Canada by now? 😂✌🏾",2018-12-31 23:26:38+00:00,1.08E+18,260,931,3237
8,"Trump says, since Obama has a wall around his house, our border should have a 2,000 mile wall.

There is no wall around Obama's house.

That this man can lie so blithely, and we all shrug, is not normal. He is either mentally ill or a pathological liar or both. Nothing good.",2018-12-31 23:21:37+00:00,1.08E+18,563,4616,15633
9,“Melania Trump Soared as First Lady in 2018 — Her 10 Best Moments” GREAT year in review about ⁦@FLOTUS⁩ - Can’t wait for 2019. Happy #NYE2018  https://t.co/tBHQPITX0d,2018-12-31 22:38:13+00:00,1.08E+18,430,620,3083
10,"Pete Hegseth: Elizabeth Warren ""says she’s in the fight all the way Mr. President, do you really think she believes she can win?""

President Donald Trump: ""Well, that I don’t know. You’d have to ask her psychiatrist."" https://t.co/sOzH6JZFrk",2018-12-31 22:38:01+00:00,1.08E+18,1178,3429,13160
11,"New: In Fox interview tonight, President Trump is asked whether Elizabeth Warren could win if she ran: “Well, that I don’t know, you’d have to ask her psychiatrist,"" he responds",2018-12-31 22:17:01+00:00,1.08E+18,534,235,603
12,"MUELLER-RELATED NEWS: Prosecutors filed a sealed motion today in the case of SAM PATTEN, who had pleaded guilty in Aug. to funneling a Ukrainian oligarch's $ to the TRUMP inaugural cmte — &amp; then lying to Senate Intel Cmte about it. He has been cooperating with prosecutors since. https://t.co/wC8d20BsvA",2018-12-31 22:11:28+00:00,1.08E+18,106,1130,2615
13,"Donald Trump's friends, family and advisors all have chosen to stay away from him on New Year's Eve. 

They really don't care (about him), do they?",2018-12-31 22:04:33+00:00,1.08E+18,162,273,1741
14,We don’t need to get all up in arms over Elizabeth Warren right now. Let all the candidates announce they’re running and we’ll go from there. What we all must agree on is in the end we must UNITE and FIGHT.  Fuck trump.,2018-12-31 21:46:24+00:00,1.08E+18,147,440,1968
15,"Trump took a 4 1/2 hour break from tweeting.  
About 4 hours for 18 holes, right?
Honestly, do we know for fact he is in DC? Has he been seen by anyone?",2018-12-31 21:43:41+00:00,1.08E+18,199,363,1534
16,"Wow, Brit. Get familiar with the basics of the Trump-Russia scandal. Trump had a secret deal to develop a Moscow tower while he was running for president. Biggest conflict of interest in modern American politics. It has been in all the papers. But maybe not on Fox.",2018-12-31 21:31:50+00:00,1.08E+18,1654,3749,15753
17,#BREAKING: Federal workers union sues Trump admin over government shutdown https://t.co/nnSe7vMLSG https://t.co/wsmGgq4Q1j,2018-12-31 21:30:49+00:00,1.08E+18,111,474,1343
18,"1. Before the year is out....the evidentiary link between Wikileaks, Russian hackers, Kremlin disinformation outlet, and Donald Trump. 

In 2016, I received a phone call from someone in the intelligence world telling me to keep an eye on Sputnik that day. I did not know what....",2018-12-31 21:21:26+00:00,1.08E+18,351,4651,7962
19,"This weekend, Trump took to Twitter 25 times to:

- Whine about Democrats
- Whine about Immigrants
- Whine about Mueller
- Whine about Hillary
- Whine about Schumer
- Whine about NAFTA
- Whine about the Media

At least he's finishing up 2018 just as promised: So. Much. Whining!",2018-12-31 21:17:50+00:00,1.08E+18,156,1374,4526
20,But I was told I had to shut up and support Trump because he would make the stock market rise forever by his sheer force of will.,2018-12-31 21:16:19+00:00,1.08E+18,403,2665,9918
21,It appears Mitch McConnell is going to shield Trump from everything Nancy sends toward the White House. So her plan to end shutdown is likely DOA and the Trump Shutdown will continue. Trump’s so uninformed he thinks this is good for his base!  https://t.co/3ZR25mHXEK,2018-12-31 21:09:39+00:00,1.08E+18,237,1173,2669
22,"This is a lie. Because:

a. The problem isn’t a long list of unapproved ambassadors. It’s that Trump left the most important slots vacant for virtually his entire first 2 years (eg Saudi Arabia)

b. Ambassadors need only 50 votes. Mitch, not Chuck, is the issue.",2018-12-31 20:36:04+00:00,1.08E+18,660,9353,25482
23,"Sarah Huckabee Sanders 2 years after leaving Trump's administration 😂😂😂

Volume up 🔊🔊🔊 https://t.co/2Jrqjqj74E",2018-12-31 20:34:33+00:00,1.08E+18,680,1683,5449
24,"I’d vote for her in the general for sure, but this came 3 years too late. I wanted her to challenge Hillary, she didn’t, and Bernie stepped up. He did what she could have done. Also, Warren against Trump worries me a lot. It’s Bernie2020 for me.",2018-12-31 20:32:05+00:00,1.08E+18,88,141,809
25,"I would vote for Elizabeth Warren in 2020.

I'd also vote for Joe Biden, Kamala Harris, Beto O'Rourke, Cory Booker, Kirsten Gillibrand, or Bernie Sanders.

It doesn't matter who makes it out of the primary. I'd vote for a warm piece of toast over Donald Trump.",2018-12-31 20:29:23+00:00,1.08E+18,378,1121,8330
26,"As Elizabeth Warren enters the field, let's remember to give all legit contenders a chance and not to pounce too harshly on any one that might not be our own personal favorite. They might be the eventual nominee, and we need to keep our eyes on the prize: Firing Donald Trump.",2018-12-31 20:19:47+00:00,1.08E+18,81,383,1518
27,"It seems @realDonaldTrump insists on referring to himself in the third person because he loves WWF.  If Trump was a wrestler, what would his wrestler name be? I’ll go with my initial name for him, Mar-a-Lard-Ass.  What say you? Make me proud, I Twitter.",2018-12-31 20:15:17+00:00,1.08E+18,511,221,1303
28,"I’d love to start the New Year with more friends. I’m a MH therapist treating the domino effect tRump has on people.  #FBRParty #Resist #BlueWave #MarchForOurLives
                                     
I’ll follow back friendlys.  

1)Like
2)Retweet
3)Follow
4)Reply

Thank You",2018-12-31 20:12:04+00:00,1.08E+18,140,319,763
29,"I’ll vote for whoever the Dems put up.

Trump’s gotta go.",2018-12-31 20:08:50+00:00,1.08E+18,85,370,2503
30,"“TRUMP ISN’T TWISTING THE TRUTH, HE IS ENGAGING IN DISINFORMATION.”",2018-12-31 20:08:24+00:00,1.08E+18,140,440,2112
31,Poll: Majority want Trump to declassify documents from Russia investigations https://t.co/laup86Y0fs,2018-12-31 20:03:21+00:00,1.08E+18,500,2615,8198
32,"Unpopular observation-
I’ve often heard Donald Trump called “a complete loser”
He’s not. He is a winner.
A man who lies every single day, pays off porn stars &amp; owns our government shutdown over a wall his party doesn’t support is also a winner. 
Consider this reality in 2019",2018-12-31 19:50:05+00:00,1.08E+18,914,710,4211
33,"You do realize that the dossier said that the Russians dangled business ventures in front of @realDonaldTrump to cultivate and co-opt him, right? It sure looks as if something like that happened in 2015/2016 as he was campaigning. And Trump kept the deal a secret from voters.",2018-12-31 19:46:25+00:00,1.08E+18,506,2501,7921
34,"Trump claims there’s a 10-foot wall around the Obamas' D.C. home. Neighbors say there’s not. 
Exactly like the birther accusation, this fabricated new story endangers the Obama’s &amp; the secret services team that protects them.  https://t.co/GUk91uZSkf",2018-12-31 19:42:30+00:00,1.08E+18,157,450,889
35,Media Didn’t Like McChrystal Until He Started Bashing Trump https://t.co/lSlkxCaqG1 via @LifeZette,2018-12-31 19:39:12+00:00,1.08E+18,2567,851,2783
36,Trump claims there's a 10-foot wall around the Obamas' D.C. home. Neighbors say there’s not. https://t.co/VmkXm40A8K,2018-12-31 19:35:31+00:00,1.08E+18,285,899,2117
37,"Happy New Year to everyone from Scotland!  I hope it's a year filled with laughter, positivity and good health.  

Apart from you Trump, and your enabling GOP parasites. I hope you have a year of despair, accountability and disappointment.  

Mueller is coming...

Much love S x",2018-12-31 19:31:18+00:00,1.08E+18,125,216,1199
38,Would Trump really lie about his own whereabouts?,2018-12-31 19:29:10+00:00,1.08E+18,1626,1473,6233
39,".@LindseyGrahamSC wants to stick taxpayers with the bill for the #WallFunding when the economy is hurting due to Trump's tariffs AND the #TrumpShutdown. 

Oh, has anyone been watching the stock market? Just wondering.",2018-12-31 19:27:54+00:00,1.08E+18,162,384,612
40,"I don’t give a damn if Congress misses their Holiday festivities.

Build our wall. 

This is not Trump’s wall.

This is America’s wall! 

Who’s with me?",2018-12-31 19:20:59+00:00,1.08E+18,264,1565,4003
41,"Unless Trump invades Canada, nukes Iran, fires Mueller, or does something else equally stupid, I’ll probably be away for much of the evening; just wanted to take the time now to wish you all a safe and happy New Year.

No drinking and driving, or I’ll sic Mrs. Angry on you.",2018-12-31 19:12:13+00:00,1.08E+18,426,518,6126
42,Trump claims there’s a 10-foot wall around the Obamas' D.C. home. Neighbors say there’s not. https://t.co/9XDBSkEJfW,2018-12-31 19:12:06+00:00,1.08E+18,1367,3874,10890
43,"Despite Trump’s tweet, there’s no 10’ fence around the Obama’s DC home. “A neighbor, a longtime resident of the area...said Trump ‘has a very active imagination.’” https://t.co/CZNwf7vjeu",2018-12-31 19:10:16+00:00,1.08E+18,688,3555,8843
44,"Trump will face an intensified level of scrutiny in 2019, with Democratic House committee chairmen poised to comb through every corner of his administration, subpoena his Cabinet and investigate his personal finances, associates and business interests https://t.co/NYGEals7NI",2018-12-31 19:09:36+00:00,1.08E+18,610,336,1415
45,"Trump averaged 15 false claims a day in 2018, according to WaPo. https://t.co/8VmKVdKBKY",2018-12-31 19:05:06+00:00,1.08E+18,171,803,1529
46,Trump claims there’s a 10-foot wall around the Obamas' D.C. home. Neighbors say there’s not. https://t.co/NduyrVkN47,2018-12-31 18:57:51+00:00,1.08E+18,586,852,1745
